img,azi,ele,dis
_MG_0047.tif,0,45,1
_MG_0049.tif,315,45,1
_MG_0051.tif,270,45,1
_MG_0052.ti,225,45,1
_MG_0053.tif,180,45,1
_MG_0054.tif,135,45,1
_MG_0055.tif,90,45,1
_MG_0056.tif,0,45,1
_MG_0057.tif,315,0,1
_MG_0058.tif,270,0,1
_MG_0059.tif,225,0,1
_MG_0060.tif,180,0,1
_MG_0061.tif,135,0,1
_MG_0062.tif,90,0,1
_MG_0063.tif,45,0,1
_MG_0068.tif,0,0,1
_MG_0069.tif,315,-45,1
_MG_0070.tif,270,-45,1
_MG_0071.tif,225,-45,1
_MG_0072.tif,180,-45,1
_MG_0073.tif,135,-45,1
_MG_0074.tif,90,-45,1
_MG_0075.tif,45,-45,1
