# <label>,<x>,<y>,<z>
_MG_0047.tif,0.70710677,0.0,0.70710677
_MG_0049.tif,0.4999999,0.0,0.70710677
_MG_0051.tif,0.0,0.0,0.70710677
_MG_0052.ti,0.0,0.0,0.70710677
_MG_0053.tif,0.0,0.0,0.70710677
_MG_0054.tif,0.0,0.49999997,0.70710677
_MG_0055.tif,0.0,0.70710677,0.70710677
_MG_0056.tif,0.70710677,0.0,0.70710677
_MG_0057.tif,0.70710665,0.0,0.0
_MG_0058.tif,0.0,0.0,0.0
_MG_0059.tif,0.0,0.0,0.0
_MG_0060.tif,0.0,0.0,0.0
_MG_0061.tif,0.0,0.70710677,0.0
_MG_0062.tif,0.0,1.0,0.0
_MG_0063.tif,0.70710677,0.70710677,0.0
_MG_0068.tif,1.0,0.0,0.0
_MG_0069.tif,0.4999999,0.0,0.0
_MG_0070.tif,0.0,0.0,0.0
_MG_0071.tif,0.0,0.0,0.0
_MG_0072.tif,0.0,0.0,0.0
_MG_0073.tif,0.0,0.49999997,0.0
_MG_0074.tif,0.0,0.70710677,0.0
_MG_0075.tif,0.49999997,0.49999997,0.0
